Employee_ID,Age,Gender,Education,Years_Experience,Department,Job_Level,Annual_Salary,Bonus,Job_Satisfaction,Work_Hours_Per_Week,Survey_Date
E0001,60,Male,Master,27,IT,Manager,106374.0,5774.0,4.0,42.4,2023-06-01
E0002,50,Male,PhD,19,Finance,Mid,47393.0,6407.0,5.0,41.5,2023-06-02
E0003,36,Female,High School,27,Operations,Junior,41383.0,3138.0,6.0,46.6,2023-06-03
E0004,64,Male,Bachelor,7,Marketing,Mid,122573.0,6310.0,3.0,40.5,2023-06-04
E0005,29,Male,Master,38,HR,Junior,89643.0,5488.0,2.0,43.3,2023-06-05
E0006,42,Male,Bachelor,0,Marketing,Mid,50138.0,2265.0,4.0,43.6,2023-06-06
E0007,60,Female,Bachelor,2,HR,Manager,70438.0,4958.0,5.0,38.7,2023-06-07
E0008,40,Female,Bachelor,12,Operations,Junior,113647.0,3850.0,4.0,47.0,2023-06-08
E0009,44,Male,Bachelor,27,HR,Junior,82291.0,3172.0,3.0,41.1,2023-06-09
E0010,32,Female,Master,24,Finance,Junior,,,8.0,38.2,2023-06-10
E0011,32,Female,High School,32,Finance,Senior,85120.0,5188.0,10.0,44.7,2023-06-11
E0012,45,Female,Master,37,Finance,Mid,88256.0,2659.0,4.0,37.5,2023-06-12
E0013,57,Female,Bachelor,5,Finance,Junior,65994.0,3587.0,2.0,42.1,2023-06-13
E0014,61,Male,Bachelor,31,Marketing,Manager,65284.0,8225.0,2.0,42.0,2023-06-14
E0015,45,Male,Bachelor,20,Operations,Senior,71676.0,6896.0,1.0,47.4,2023-06-15
E0016,24,Female,Bachelor,15,HR,Junior,83361.0,2064.0,4.0,44.4,2023-06-16
E0017,43,Female,Master,20,HR,Senior,,,10.0,41.9,2023-06-17
E0018,23,Male,High School,10,Finance,Senior,68051.0,5398.0,9.0,46.1,2023-06-18
E0019,45,Male,High School,36,Finance,Mid,,,7.0,49.0,2023-06-19
E0020,51,Female,Master,35,IT,Junior,67892.0,9149.0,10.0,44.8,2023-06-20
E0021,59,Male,High School,34,Operations,Junior,33725.0,399.0,7.0,42.1,2023-06-21
E0022,23,Female,High School,18,Marketing,Junior,130149.0,7583.0,7.0,35.4,2023-06-22
E0023,42,Female,Bachelor,19,HR,Senior,46676.0,8796.0,8.0,36.7,2023-06-23
E0024,54,Male,High School,17,IT,Manager,55963.0,6678.0,1.0,40.5,2023-06-24
E0025,33,Male,Master,13,IT,Junior,44518.0,3994.0,10.0,39.0,2023-06-25
E0026,43,Female,High School,14,HR,Junior,80393.0,12240.0,10.0,41.1,2023-06-26
E0027,46,Female,Bachelor,30,Marketing,Junior,60100.0,6954.0,8.0,42.3,2023-06-27
E0028,48,Male,Bachelor,0,IT,Junior,,,4.0,,2023-06-28
E0029,63,Female,Master,2,IT,Senior,81422.0,9054.0,4.0,41.6,2023-06-29
E0030,49,Male,Bachelor,15,Operations,Mid,84791.0,6392.0,4.0,44.4,2023-06-30
E0031,37,Female,High School,22,Marketing,Mid,63328.0,3261.0,6.0,42.3,2023-07-01
E0032,36,Male,PhD,10,IT,Junior,48409.0,4928.0,7.0,32.1,2023-07-02
E0033,24,Male,Master,11,Marketing,Mid,,,6.0,37.3,2023-07-03
